"room_type","price","minimum_nights","number_of_reviews","reviews_per_month","calculated_host_listings_count","availability_365"
"Entire home/apt",81,1,61,3.22,1,42
"Entire home/apt",144,1,115,6.14,2,321
"Entire home/apt",151,2,27,2.39,1,202
"Entire home/apt",65,2,23,1.23,5,291
"Entire home/apt",209,2,10,1.2,1,163
"Other",122,2,6,0.34,1,365
"Other",50,1,3,0.17,1,0
"Entire home/apt",115,2,46,3.33,2,351
"Entire home/apt",221,3,67,3.65,9,225
"Entire home/apt",60,30,5,0.3,2,126
"Entire home/apt",241,3,46,2.86,3,24
"Entire home/apt",132,2,42,3.21,1,42
"Entire home/apt",118,1,23,1.84,1,284
"Entire home/apt",224,30,47,2.57,2,134
"Other",75,1,0,0,1,0
"Entire home/apt",257,1,94,5.16,15,200
"Entire home/apt",125,3,30,1.67,1,286
"Entire home/apt",293,2,50,2.85,1,297
"Entire home/apt",145,30,0,0,1,0
"Entire home/apt",241,1,114,6.67,4,312
"Entire home/apt",335,3,49,2.68,1,315
"Entire home/apt",200,2,21,1.14,3,155
"Entire home/apt",199,1,89,5.13,15,274
"Entire home/apt",140,2,30,1.98,1,305
"Entire home/apt",199,2,7,0.59,1,107
"Other",50,2,42,2.35,3,226
"Entire home/apt",45,30,8,0.53,2,315
"Entire home/apt",104,1,74,4.17,1,50
"Entire home/apt",189,2,80,4.49,1,74
"Other",82,2,25,1.4,1,73
"Entire home/apt",306,1,114,6.77,4,284
"Entire home/apt",80,2,2,0.11,43,324
"Entire home/apt",569,1,22,1.56,51,268
"Entire home/apt",103,1,5,0.39,51,138
"Entire home/apt",135,2,28,1.56,2,305
"Entire home/apt",139,2,20,2.25,1,154
"Entire home/apt",100,28,5,0.36,5,232
"Entire home/apt",495,1,28,1.57,5,314
"Other",65,30,1,0.14,1,365
"Entire home/apt",529,2,46,2.57,1,245
"Entire home/apt",163,2,47,2.68,43,265
"Entire home/apt",141,2,78,5.29,1,284
"Entire home/apt",99,29,8,0.53,1,211
"Entire home/apt",73,30,3,0.19,2,290
"Entire home/apt",138,2,1,1,3,32
"Entire home/apt",92,30,3,0.32,2,336
"Entire home/apt",155,28,8,0.48,1,323
"Entire home/apt",100,30,5,0.31,1,193
"Entire home/apt",100,30,0,0,1,267
"Entire home/apt",65,1,20,1.34,1,90
"Entire home/apt",172,2,69,4.6,2,47
"Entire home/apt",195,30,4,0.28,1,187
"Entire home/apt",85,2,30,3.75,1,22
"Entire home/apt",62,1,26,1.49,3,228
"Entire home/apt",1129,4,6,0.43,3,247
"Entire home/apt",94,1,20,1.24,1,269
"Entire home/apt",232,2,11,0.69,1,310
"Entire home/apt",135,21,6,0.83,1,226
"Entire home/apt",114,1,57,3.94,1,64
"Entire home/apt",91,29,3,0.2,43,293
"Entire home/apt",182,1,96,6.17,1,338
"Entire home/apt",40,1,149,8.63,2,184
"Entire home/apt",163,1,0,0,2,160
"Entire home/apt",81,1,5,0.31,1,0
"Entire home/apt",257,3,37,2.29,1,243
"Entire home/apt",228,2,2,0.16,3,68
"Entire home/apt",59,1,3,0.54,1,305
"Entire home/apt",142,2,30,2.07,2,276
"Entire home/apt",182,2,1,0.08,3,68
"Entire home/apt",95,2,7,0.48,1,168
"Entire home/apt",125,2,46,2.73,1,326
"Entire home/apt",80,29,8,0.6,1,0
"Other",40,30,0,0,2,334
"Entire home/apt",75,1,61,3.26,1,186
"Other",70,2,24,1.44,1,260
"Entire home/apt",295,1,27,1.72,113,285
"Entire home/apt",204,2,61,3.73,1,158
"Entire home/apt",212,2,51,3.03,4,340
"Entire home/apt",113,2,66,3.98,1,333
"Entire home/apt",174,1,35,2.1,3,136
"Entire home/apt",78,30,6,0.37,1,279
"Entire home/apt",271,1,36,2.61,1,351
"Entire home/apt",295,1,42,2.72,113,335
"Entire home/apt",166,1,33,2.27,1,0
"Entire home/apt",175,1,3,0.31,51,275
"Entire home/apt",149,1,36,2.4,3,224
"Entire home/apt",99,30,0,0,4,56
"Entire home/apt",184,2,80,5.21,2,199
"Entire home/apt",297,2,20,0.38,11,365
"Entire home/apt",198,2,53,2.06,11,346
"Entire home/apt",246,2,21,0.77,11,358
"Entire home/apt",85,31,15,0.42,11,365
"Entire home/apt",226,2,33,1.31,11,336
"Entire home/apt",192,2,16,0.58,11,365
"Entire home/apt",124,2,65,1.2,34,357
"Entire home/apt",186,2,27,1.28,34,360
"Entire home/apt",232,2,68,1.32,34,307
"Entire home/apt",183,2,42,2.73,34,358
"Entire home/apt",165,2,100,1.9,34,357
"Entire home/apt",135,2,24,0.49,34,365
"Entire home/apt",391,3,43,2.67,2,240
"Entire home/apt",99,28,3,0.2,2,263
"Entire home/apt",336,2,15,0.59,11,354
"Entire home/apt",203,2,2,0.18,34,365
"Entire home/apt",90,2,6,0.41,34,365
"Entire home/apt",334,2,56,2.42,34,287
"Entire home/apt",614,2,11,0.9,34,365
"Entire home/apt",234,2,11,0.73,34,358
"Entire home/apt",650,7,14,0.5,34,365
"Entire home/apt",279,2,63,1.9,34,337
"Entire home/apt",166,2,13,0.93,34,365
"Entire home/apt",104,2,67,4.63,1,311
"Entire home/apt",172,1,22,1.33,2,9
"Entire home/apt",117,2,23,1.41,1,158
"Entire home/apt",165,1,7,0.53,3,90
"Entire home/apt",237,3,20,1.38,1,163
"Entire home/apt",75,2,47,3.09,1,348
"Entire home/apt",118,3,57,3.48,1,319
"Entire home/apt",175,26,4,0.44,1,209
"Entire home/apt",169,2,13,0.87,10,357
"Other",51,1,71,4.73,1,166
"Entire home/apt",145,3,3,0.25,1,352
"Entire home/apt",249,1,25,1.62,113,347
"Entire home/apt",129,2,46,2.98,2,236
"Other",35,1,7,0.57,19,176
"Entire home/apt",147,2,9,0.59,10,365
"Entire home/apt",420,2,26,1.71,2,285
"Entire home/apt",452,28,1,0.07,3,175
"Entire home/apt",337,2,29,2.21,1,326
"Entire home/apt",124,3,14,0.9,2,127
"Entire home/apt",125,1,15,1.07,34,325
"Entire home/apt",149,1,65,4.06,1,292
"Entire home/apt",238,3,53,3.44,1,223
"Entire home/apt",414,1,55,3.56,15,288
"Entire home/apt",130,1,69,4.56,1,334
"Entire home/apt",116,2,49,3.13,9,219
"Entire home/apt",157,2,29,1.82,1,349
"Entire home/apt",955,1,56,3.57,1,340
"Entire home/apt",195,2,31,1.97,1,0
"Entire home/apt",130,2,3,0.2,1,168
"Entire home/apt",89,2,47,3.23,1,310
"Entire home/apt",178,3,51,3.26,3,333
"Entire home/apt",271,1,12,1.01,51,324
"Entire home/apt",243,1,12,1.04,51,335
"Entire home/apt",227,1,7,0.64,51,340
"Entire home/apt",224,1,11,1.02,51,339
"Entire home/apt",298,1,12,1.31,51,311
"Entire home/apt",88,2,22,1.57,1,263
"Entire home/apt",209,4,36,2.52,3,331
"Entire home/apt",204,2,14,0.91,43,77
"Entire home/apt",100,30,1,0.08,1,254
"Entire home/apt",115,1,199,13.15,1,168
"Entire home/apt",188,3,27,1.85,1,165
"Entire home/apt",98,1,25,3.05,1,210
"Other",125,2,37,2.47,1,240
"Entire home/apt",392,3,16,1.21,1,168
"Entire home/apt",164,4,22,1.62,3,327
"Entire home/apt",126,1,36,2.33,1,171
"Entire home/apt",140,2,30,2.47,1,31
"Entire home/apt",198,2,61,4.15,1,281
"Entire home/apt",249,3,6,0.69,1,285
"Entire home/apt",181,2,12,0.9,10,343
"Entire home/apt",105,2,33,2.28,2,318
"Entire home/apt",176,3,23,1.57,2,56
"Entire home/apt",149,1,9,0.68,51,341
"Entire home/apt",99,3,5,0.42,1,261
"Entire home/apt",89,2,23,1.61,1,344
"Entire home/apt",121,2,38,2.81,1,355
"Entire home/apt",138,1,16,1.05,15,312
"Entire home/apt",99,2,34,2.51,1,336
"Entire home/apt",392,2,5,0.39,2,365
"Entire home/apt",91,1,106,7.18,1,0
"Entire home/apt",149,2,3,3,1,344
"Entire home/apt",262,2,12,0.86,10,361
"Entire home/apt",262,2,7,0.48,10,359
"Entire home/apt",263,2,20,1.36,10,357
"Entire home/apt",295,1,16,1.09,113,350
"Entire home/apt",136,2,20,1.36,1,350
"Entire home/apt",149,2,28,1.9,2,216
"Entire home/apt",244,2,35,2.63,1,241
"Entire home/apt",87,1,83,6.55,7,260
"Entire home/apt",86,1,72,4.88,7,352
"Entire home/apt",110,2,69,5.46,1,50
"Entire home/apt",159,3,79,5.82,1,144
"Entire home/apt",215,30,0,0,1,157
"Entire home/apt",125,3,30,2.16,1,303
"Entire home/apt",130,2,52,3.59,2,229
"Entire home/apt",155,2,24,1.71,1,293
"Entire home/apt",282,1,35,2.41,1,4
"Entire home/apt",98,2,46,3.17,1,160
"Entire home/apt",114,2,52,3.59,9,224
"Entire home/apt",450,2,27,2.03,1,292
"Entire home/apt",282,1,29,4.92,1,148
"Entire home/apt",825,2,2,0.16,1,365
"Entire home/apt",100,30,1,0.08,2,331
"Entire home/apt",105,2,49,3.68,1,124
"Entire home/apt",99,30,2,0.3,2,78
"Entire home/apt",124,2,15,1.07,1,100
"Entire home/apt",310,30,5,0.42,1,79
"Entire home/apt",85,1,40,2.9,1,27
"Entire home/apt",77,1,36,2.52,1,100
"Entire home/apt",205,3,14,1.09,1,131
"Entire home/apt",191,1,0,0,2,364
"Other",75,1,11,1.15,1,170
"Entire home/apt",398,1,18,1.27,34,260
"Entire home/apt",300,28,4,0.31,1,169
"Entire home/apt",172,2,45,3.27,4,146
"Entire home/apt",147,2,7,0.54,43,361
"Entire home/apt",120,2,29,2.14,1,163
"Entire home/apt",119,2,53,3.78,1,70
"Entire home/apt",139,2,54,4.12,1,118
"Other",47,7,3,0.23,1,145
"Entire home/apt",69,1,18,1.37,1,355
"Entire home/apt",139,2,15,1.12,3,354
"Entire home/apt",248,2,39,2.98,1,244
"Entire home/apt",200,1,34,2.51,2,0
"Entire home/apt",153,2,14,1.07,43,258
"Entire home/apt",179,2,31,2.33,1,75
"Entire home/apt",325,2,6,0.53,1,316
"Entire home/apt",112,2,14,1.03,9,228
"Entire home/apt",113,2,37,2.73,2,312
"Entire home/apt",169,3,21,1.75,43,326
"Entire home/apt",237,2,17,1.61,1,341
"Entire home/apt",117,2,79,5.79,2,268
"Entire home/apt",514,1,1,0.11,3,310
"Entire home/apt",125,2,18,1.37,1,321
"Entire home/apt",107,1,23,1.8,1,354
"Entire home/apt",180,30,1,0.1,1,0
"Entire home/apt",115,2,16,1.27,1,69
"Entire home/apt",100,3,6,0.63,1,212
"Entire home/apt",62,30,0,0,1,292
"Entire home/apt",175,2,42,3.29,1,155
"Entire home/apt",295,1,39,2.96,113,341
"Entire home/apt",107,2,42,3.32,1,280
"Entire home/apt",137,2,16,1.2,43,339
"Entire home/apt",729,3,13,1.14,2,131
"Entire home/apt",691,2,35,2.6,1,266
"Entire home/apt",801,1,13,1.37,51,283
"Entire home/apt",124,1,62,4.7,1,323
"Entire home/apt",101,3,2,0.2,1,263
"Entire home/apt",170,2,27,2.22,1,81
"Entire home/apt",190,1,27,2.06,113,328
"Entire home/apt",139,1,19,1.66,3,357
"Entire home/apt",90,1,13,0.99,2,125
"Entire home/apt",88,1,20,1.55,1,333
"Entire home/apt",129,2,72,5.68,1,161
"Entire home/apt",202,7,1,0.13,1,359
"Entire home/apt",259,2,21,1.64,1,77
"Entire home/apt",636,2,25,2.15,1,282
"Entire home/apt",786,1,44,3.42,2,262
"Entire home/apt",59,1,38,3.01,4,343
"Entire home/apt",59,1,35,2.8,4,355
"Entire home/apt",295,1,28,2.26,113,319
"Entire home/apt",89,2,9,0.74,3,0
"Other",84,1,70,5.85,1,129
"Other",64,28,0,0,1,179
"Entire home/apt",88,2,13,1.09,1,283
"Entire home/apt",172,1,25,1.99,113,326
"Entire home/apt",279,2,41,3.19,1,309
"Entire home/apt",193,4,5,0.39,1,171
"Entire home/apt",171,3,20,1.64,1,272
"Entire home/apt",162,1,120,9.4,2,242
"Entire home/apt",343,2,79,6.25,2,179
"Entire home/apt",368,2,5,0.45,3,143
"Entire home/apt",60,30,16,1.34,1,10
"Entire home/apt",165,2,16,2.2,1,275
"Entire home/apt",127,1,24,2.22,1,158
"Entire home/apt",234,2,72,5.61,3,148
"Entire home/apt",302,3,39,3.57,3,197
"Entire home/apt",109,1,26,2.06,34,222
"Entire home/apt",255,2,4,0.35,1,340
"Entire home/apt",182,2,3,0.32,1,336
"Entire home/apt",92,90,0,0,1,167
"Entire home/apt",397,1,16,1.37,51,333
"Entire home/apt",295,3,8,0.8,1,0
"Entire home/apt",234,3,59,4.61,9,197
"Entire home/apt",156,1,33,2.63,3,212
"Entire home/apt",100,2,34,2.69,2,331
"Entire home/apt",132,1,58,4.64,2,331
"Other",69,2,7,0.58,1,320
"Entire home/apt",146,1,39,3.62,1,84
"Entire home/apt",98,1,5,0.52,34,310
"Entire home/apt",295,1,50,4.11,113,339
"Entire home/apt",381,1,8,0.67,51,320
"Entire home/apt",110,2,31,2.77,2,331
"Entire home/apt",154,1,56,5.01,15,269
"Entire home/apt",84,1,125,10.87,9,148
"Entire home/apt",125,29,1,0.11,1,221
"Entire home/apt",95,2,11,1,1,364
"Entire home/apt",166,1,35,2.88,2,213
"Entire home/apt",137,2,6,0.5,10,365
"Entire home/apt",350,30,1,0.09,1,232
"Entire home/apt",104,1,9,0.74,1,209
"Entire home/apt",101,2,9,2.25,1,323
"Entire home/apt",137,2,32,2.63,1,252
"Entire home/apt",100,30,2,0.2,1,14
"Entire home/apt",91,3,20,1.73,43,341
"Entire home/apt",121,2,19,1.73,43,331
"Other",90,1,57,4.65,5,212
"Entire home/apt",159,1,42,4.79,1,0
"Entire home/apt",148,2,16,1.32,2,346
"Entire home/apt",109,2,122,10.05,4,365
"Entire home/apt",202,4,7,0.84,1,84
"Entire home/apt",102,2,62,5.21,1,153
"Entire home/apt",93,1,26,2.22,1,176
"Entire home/apt",146,2,14,1.27,1,333
"Entire home/apt",139,2,24,2.14,1,129
"Entire home/apt",295,2,0,0,1,354
"Entire home/apt",75,30,0,0,1,365
"Entire home/apt",279,6,10,0.94,1,137
"Other",94,2,0,0,2,89
"Entire home/apt",83,2,49,4.65,1,63
"Entire home/apt",392,1,18,2.26,2,280
"Entire home/apt",333,30,0,0,5,89
"Entire home/apt",97,2,31,2.7,1,286
"Entire home/apt",140,2,10,1.12,1,363
"Entire home/apt",82,1,49,4.19,2,145
"Entire home/apt",347,2,9,0.83,10,144
"Entire home/apt",119,1,31,2.7,1,78
"Entire home/apt",101,30,0,0,5,0
"Entire home/apt",250,30,0,0,1,365
"Entire home/apt",151,2,21,1.85,10,361
"Entire home/apt",288,1,4,0.45,1,307
"Entire home/apt",939,3,17,1.58,4,236
"Entire home/apt",150,1,34,3.09,1,332
"Entire home/apt",157,1,6,0.73,1,319
"Entire home/apt",93,1,62,5.3,4,333
"Entire home/apt",125,28,2,0.21,2,172
"Other",60,1,48,4.34,1,82
"Entire home/apt",122,2,3,0.27,14,75
"Entire home/apt",116,2,15,1.55,4,331
"Entire home/apt",99,2,8,0.83,3,356
"Entire home/apt",131,1,51,4.42,1,316
"Entire home/apt",175,1,33,2.94,2,0
"Other",119,1,15,1.33,5,213
"Entire home/apt",90,2,12,1.89,1,112
"Entire home/apt",271,2,25,3.07,1,147
"Entire home/apt",387,1,32,3.14,5,325
"Other",54,1,16,4,1,260
"Entire home/apt",168,2,12,1.18,1,0
"Other",999,1,1,0.1,1,90
"Entire home/apt",241,1,1,0.16,2,98
"Entire home/apt",175,2,0,0,1,365
"Entire home/apt",326,1,35,3.66,2,72
"Entire home/apt",336,1,17,1.78,2,74
"Entire home/apt",200,2,10,1.09,1,61
"Entire home/apt",120,2,68,6.62,1,155
"Entire home/apt",172,1,95,8.82,1,59
"Entire home/apt",129,2,21,1.97,1,335
"Entire home/apt",55,30,1,0.33,1,0
"Entire home/apt",254,2,12,1.22,34,365
"Entire home/apt",293,1,20,2.51,1,230
"Other",68,1,48,4.43,1,326
"Entire home/apt",165,2,7,0.73,1,350
"Entire home/apt",69,1,19,1.93,1,354
"Entire home/apt",112,2,35,3.49,1,130
"Entire home/apt",219,2,25,2.32,43,345
"Entire home/apt",500,3,6,0.76,2,86
"Entire home/apt",285,1,48,5.2,1,18
"Entire home/apt",413,3,13,1.68,1,293
"Entire home/apt",200,2,23,2.18,1,322
"Entire home/apt",357,1,26,2.58,1,156
"Other",80,1,24,2.85,1,78
"Entire home/apt",130,3,17,1.68,1,133
"Other",66,2,20,2.2,1,149
"Entire home/apt",89,3,8,0.78,3,0
"Entire home/apt",245,2,0,0,1,90
"Entire home/apt",524,2,18,2.16,1,84
"Entire home/apt",150,2,34,3.33,4,267
"Entire home/apt",100,2,49,5.1,1,0
"Entire home/apt",99,2,41,3.92,1,169
"Entire home/apt",86,2,13,1.73,1,165
"Entire home/apt",129,2,14,1.71,1,218
"Entire home/apt",207,2,0,0,5,8
"Entire home/apt",302,2,34,3.72,3,75
"Entire home/apt",125,30,2,0.29,5,303
"Entire home/apt",95,29,4,0.46,1,76
"Entire home/apt",109,2,67,6.53,1,41
"Entire home/apt",500,4,3,0.33,1,307
"Entire home/apt",139,1,30,3.2,1,153
"Other",105,1,41,4.27,1,324
"Entire home/apt",72,1,10,1.05,2,15
"Entire home/apt",147,2,35,3.66,9,268
"Entire home/apt",145,30,0,0,2,291
"Entire home/apt",124,2,1,0.1,1,0
"Entire home/apt",110,1,14,1.46,1,253
"Entire home/apt",153,1,30,3.13,1,312
"Entire home/apt",90,3,13,1.32,1,173
"Entire home/apt",85,1,34,3.46,1,340
"Entire home/apt",221,2,3,0.32,3,107
"Entire home/apt",212,2,13,1.32,4,156
"Entire home/apt",212,2,7,0.78,10,365
"Entire home/apt",211,1,19,2.01,8,301
"Entire home/apt",510,2,46,4.74,2,279
"Entire home/apt",69,1,35,3.54,4,342
"Entire home/apt",69,1,20,2.03,4,347
"Entire home/apt",69,1,40,4.08,4,338
"Entire home/apt",85,30,5,0.67,1,351
"Entire home/apt",218,2,51,5.58,3,142
"Entire home/apt",94,90,3,0.37,1,365
"Entire home/apt",118,2,35,3.56,1,302
"Entire home/apt",251,1,3,0.37,3,339
"Entire home/apt",155,1,6,0.65,3,342
"Entire home/apt",220,21,1,0.19,1,294
"Entire home/apt",101,1,17,1.81,1,284
"Entire home/apt",264,1,49,5.12,1,348
"Entire home/apt",80,1,77,8.02,9,364
"Entire home/apt",318,3,29,3.19,43,314
"Entire home/apt",372,2,24,2.51,4,319
"Entire home/apt",63,1,76,7.97,5,361
"Entire home/apt",106,1,47,4.85,5,74
"Entire home/apt",63,1,61,6.31,9,80
"Entire home/apt",80,1,1,0.15,34,76
"Entire home/apt",206,1,2,0.25,13,326
"Entire home/apt",745,3,6,0.91,6,220
"Entire home/apt",156,2,3,1.15,1,92
"Entire home/apt",295,1,46,4.78,1,217
"Entire home/apt",132,2,5,0.56,6,346
"Entire home/apt",196,2,20,2.26,6,344
"Entire home/apt",174,2,15,1.64,6,344
"Entire home/apt",100,1,66,7.5,1,100
"Entire home/apt",353,1,19,2.13,1,344
"Entire home/apt",350,3,6,1.13,3,223
"Other",75,30,15,1.74,1,212
"Entire home/apt",657,1,39,4.38,15,294
"Entire home/apt",409,2,33,3.71,1,132
"Entire home/apt",257,3,12,1.35,1,326
"Entire home/apt",157,30,8,1.43,2,267
"Entire home/apt",59,1,6,0.73,1,127
"Entire home/apt",200,2,6,0.69,1,0
"Entire home/apt",184,1,62,6.99,13,348
"Entire home/apt",241,1,4,0.43,13,340
"Entire home/apt",166,1,6,0.72,5,342
"Entire home/apt",92,1,6,0.76,3,160
"Entire home/apt",219,1,15,1.64,13,334
"Entire home/apt",134,30,3,0.38,3,353
"Other",50,30,0,0,3,257
"Entire home/apt",125,28,2,0.28,2,336
"Entire home/apt",212,2,17,2.07,1,310
"Entire home/apt",92,2,13,1.41,1,196
"Entire home/apt",168,2,9,1.01,3,136
"Entire home/apt",129,1,52,5.78,9,248
"Entire home/apt",268,1,5,0.56,13,347
"Entire home/apt",259,1,7,0.77,13,347
"Entire home/apt",126,1,37,4.17,9,265
"Entire home/apt",89,1,9,1.05,34,353
"Other",82,2,3,0.38,1,365
"Entire home/apt",93,1,19,2.19,1,349
"Entire home/apt",134,1,25,6.7,1,297
"Other",85,2,14,1.66,2,349
"Entire home/apt",115,30,2,1.09,1,203
"Entire home/apt",209,1,15,1.86,51,332
"Entire home/apt",100,1,0,0,1,168
"Other",75,2,9,1.05,1,332
"Entire home/apt",83,1,19,2.19,1,160
"Entire home/apt",111,28,2,0.26,1,0
"Entire home/apt",89,2,22,2.61,2,340
"Entire home/apt",89,1,106,12.18,1,158
"Entire home/apt",227,1,5,1.63,5,305
"Entire home/apt",251,1,6,1.89,5,296
"Entire home/apt",66,1,28,3.23,1,0
"Entire home/apt",373,1,7,0.88,10,302
"Entire home/apt",116,30,1,0.14,1,260
"Entire home/apt",111,2,13,1.49,43,332
"Entire home/apt",94,1,1,0.14,2,0
"Entire home/apt",125,2,0,0,1,352
"Entire home/apt",94,2,44,5.32,1,99
"Entire home/apt",222,1,16,1.9,13,346
"Entire home/apt",222,1,17,2.09,13,339
"Entire home/apt",104,1,40,4.72,1,198
"Entire home/apt",189,2,12,1.42,4,19
"Entire home/apt",50,30,0,0,6,0
"Entire home/apt",168,2,0,0,2,170
"Entire home/apt",185,17,4,0.61,1,229
"Entire home/apt",160,28,3,0.45,1,289
"Entire home/apt",207,2,37,5.44,2,258
"Entire home/apt",250,3,2,0.25,1,321
"Entire home/apt",91,1,48,6,1,79
"Entire home/apt",173,30,1,0.38,43,300
"Entire home/apt",128,2,30,3.72,1,311
"Entire home/apt",110,1,75,8.89,2,330
"Entire home/apt",161,2,1,0.12,1,89
"Entire home/apt",111,1,69,8.66,1,321
"Entire home/apt",166,1,26,3.24,1,340
"Other",110,30,2,0.25,1,32
"Entire home/apt",114,1,16,2.34,3,332
"Other",1244,1,7,0.93,6,254
"Entire home/apt",379,28,1,0.16,9,63
"Other",111,2,3,0.43,1,56
"Entire home/apt",295,1,12,1.65,113,346
"Entire home/apt",225,2,7,3.28,1,313
"Entire home/apt",105,1,26,6.5,1,211
"Entire home/apt",300,4,2,0.34,1,7
"Entire home/apt",250,3,2,0.95,1,252
"Entire home/apt",67,1,62,9.84,1,139
"Entire home/apt",299,30,0,0,2,359
"Other",70,1,19,2.52,1,160
"Entire home/apt",120,30,1,0.37,2,165
"Entire home/apt",639,1,20,2.65,1,318
"Entire home/apt",47,30,4,0.52,6,16
"Entire home/apt",348,2,3,0.44,2,315
"Other",95,1,1,0.13,2,327
"Entire home/apt",253,2,8,1.4,43,338
"Entire home/apt",95,3,2,0.28,2,358
"Entire home/apt",106,2,6,1.07,43,318
"Entire home/apt",149,2,1,0.18,1,71
"Entire home/apt",188,30,3,0.66,1,175
"Entire home/apt",151,2,22,4.29,1,104
"Entire home/apt",162,2,29,3.99,1,334
"Entire home/apt",244,2,35,4.67,1,321
"Other",57,2,22,2.92,1,318
"Entire home/apt",212,2,4,0.57,34,365
"Entire home/apt",285,1,0,0,1,365
"Entire home/apt",117,1,6,1.51,1,304
"Entire home/apt",209,2,11,1.51,1,333
"Entire home/apt",99,2,22,3.22,1,342
"Entire home/apt",313,2,15,2.92,4,174
"Entire home/apt",86,1,20,3.49,1,52
"Entire home/apt",90,28,2,0.27,2,352
"Entire home/apt",153,28,0,0,1,290
"Other",51,1,25,3.54,2,39
"Entire home/apt",143,2,39,5.39,2,37
"Entire home/apt",359,3,15,2.37,2,41
"Entire home/apt",590,3,7,2.69,1,315
"Entire home/apt",299,2,15,2.21,2,324
"Entire home/apt",424,30,3,0.5,3,222
"Entire home/apt",85,28,0,0,5,259
"Entire home/apt",176,3,4,0.69,1,1
"Entire home/apt",111,3,0,0,1,0
"Entire home/apt",96,2,6,0.9,43,0
"Entire home/apt",276,2,0,0,2,183
"Entire home/apt",150,2,9,1.43,1,359
"Entire home/apt",170,2,25,3.69,2,311
"Entire home/apt",433,2,21,3.21,10,346
"Entire home/apt",334,2,7,1.28,34,347
"Entire home/apt",88,1,37,5.44,1,330
"Entire home/apt",119,2,1,0.15,1,168
"Entire home/apt",340,1,27,3.97,7,255
"Entire home/apt",517,2,5,0.74,4,290
"Entire home/apt",93,30,0,0,43,183
"Other",79,1,0,0,4,0
"Entire home/apt",85,30,1,0.22,1,0
"Entire home/apt",160,2,11,1.81,1,183
"Entire home/apt",175,2,1,0.18,1,230
"Entire home/apt",509,3,0,0,6,293
"Entire home/apt",165,2,0,0,6,294
"Entire home/apt",534,1,5,1.95,34,344
"Entire home/apt",93,1,49,7.62,1,335
"Entire home/apt",88,1,27,4.43,1,25
"Entire home/apt",100,2,7,3.62,1,321
"Entire home/apt",110,30,0,0,1,352
"Entire home/apt",89,28,0,0,14,62
"Entire home/apt",221,2,4,1.21,1,5
"Entire home/apt",153,2,1,1,1,26
"Entire home/apt",469,1,22,4.46,1,94
"Entire home/apt",233,3,9,2.93,1,172
"Entire home/apt",500,2,0,0,3,0
"Other",69,2,0,0,3,348
"Entire home/apt",1700,3,0,0,2,337
"Entire home/apt",229,2,25,5.21,1,277
"Entire home/apt",119,5,2,0.35,1,187
"Entire home/apt",64,1,9,1.5,6,117
"Entire home/apt",88,2,10,1.79,1,331
"Entire home/apt",204,2,21,3.73,1,338
"Entire home/apt",254,2,29,5.92,1,109
"Other",83,1,12,3.16,1,82
"Entire home/apt",736,1,10,1.8,10,315
"Entire home/apt",125,2,0,0,3,352
"Entire home/apt",201,2,6,2.34,6,319
"Entire home/apt",90,30,0,0,1,259
"Entire home/apt",96,2,10,2.5,43,343
"Entire home/apt",180,1,3,0.98,4,334
"Entire home/apt",92,2,9,1.74,43,288
"Entire home/apt",152,2,4,0.77,43,324
"Other",34,30,0,0,1,364
"Entire home/apt",349,1,23,4.66,15,296
"Entire home/apt",146,2,28,5.42,1,107
"Entire home/apt",144,3,1,0.19,1,312
"Entire home/apt",299,2,10,2.5,10,309
"Entire home/apt",149,2,7,1.75,1,78
"Entire home/apt",96,2,0,0,14,0
"Entire home/apt",232,2,2,0.8,14,58
"Entire home/apt",140,2,1,0.42,2,180
"Entire home/apt",110,30,0,0,1,321
"Entire home/apt",404,2,3,0.76,1,362
"Other",47,1,0,0,3,316
"Entire home/apt",86,2,4,1.56,1,158
"Entire home/apt",86,2,12,3,1,156
"Entire home/apt",298,3,6,1.98,1,314
"Entire home/apt",99,1,26,5.53,2,338
"Entire home/apt",87,1,21,3.89,1,65
"Entire home/apt",75,30,0,0,1,129
"Entire home/apt",752,30,0,0,3,283
"Entire home/apt",150,1,0,0,34,239
"Entire home/apt",124,1,0,0,1,365
"Entire home/apt",153,2,7,1.65,5,357
"Entire home/apt",87,1,17,8.95,1,284
"Entire home/apt",122,1,11,2.13,6,157
"Entire home/apt",1646,30,0,0,2,321
"Entire home/apt",80,30,0,0,1,329
"Entire home/apt",116,1,17,3.29,1,279
"Entire home/apt",65,2,13,2.79,3,332
"Entire home/apt",90,1,13,3.07,1,336
"Entire home/apt",239,1,31,6,4,156
"Entire home/apt",143,3,15,5.77,1,143
"Entire home/apt",83,1,7,1.42,34,0
"Entire home/apt",135,4,4,0.94,1,325
"Entire home/apt",260,1,0,0,13,328
"Entire home/apt",167,30,0,0,1,140
"Entire home/apt",549,2,8,1.9,1,285
"Entire home/apt",90,30,0,0,1,136
"Entire home/apt",425,3,2,0.71,1,276
"Entire home/apt",114,1,4,1.03,34,347
"Entire home/apt",105,14,0,0,1,91
"Entire home/apt",113,2,10,3.23,1,0
"Entire home/apt",96,30,0,0,5,279
"Entire home/apt",75,2,2,0.85,43,0
"Entire home/apt",180,3,0,0,1,9
"Other",238,1,1,0.32,7,280
"Entire home/apt",178,2,1,0.83,1,150
"Entire home/apt",160,2,30,7.09,1,265
