"room_type","price","minimum_nights","number_of_reviews","reviews_per_month","calculated_host_listings_count","availability_365"
"Entire home/apt",69,30,16,0.39,2,303
"Other",106,2,194,2.7,1,144
"Other",66,2,317,4.16,2,38
"Entire home/apt",624,2,68,0.96,51,340
"Entire home/apt",369,3,199,2.64,4,302
"Entire home/apt",97,2,432,5.69,1,47
"Other",150,20,1,0.01,3,70
"Entire home/apt",249,2,137,1.85,3,347
"Entire home/apt",69,2,293,3.86,2,81
"Entire home/apt",59,2,165,2.2,2,0
"Other",89,1,206,3.3,1,70
"Entire home/apt",149,4,2,0.03,1,0
"Entire home/apt",210,3,85,3.55,1,120
"Entire home/apt",105,2,378,5.01,1,344
"Entire home/apt",97,1,595,7.99,1,354
"Entire home/apt",120,1,328,4.32,9,333
"Entire home/apt",63,1,164,2.18,1,359
"Entire home/apt",142,2,259,3.51,1,294
"Other",121,2,357,4.75,3,68
"Other",156,2,325,4.32,3,80
"Entire home/apt",237,2,43,0.58,2,359
"Entire home/apt",132,2,370,4.9,2,354
"Entire home/apt",91,28,32,0.46,1,352
"Entire home/apt",109,28,208,2.84,1,8
"Other",117,2,49,0.67,1,154
"Entire home/apt",169,2,116,1.56,1,172
"Entire home/apt",156,3,75,1.01,1,0
"Other",114,1,25,0.34,9,287
"Other",114,1,55,0.76,9,287
"Other",114,1,22,0.3,9,288
"Other",114,1,62,0.84,9,286
"Entire home/apt",201,1,145,2.08,1,102
"Entire home/apt",131,3,335,4.5,1,68
"Other",114,1,100,1.45,9,288
"Other",76,1,173,2.33,1,86
"Other",114,1,178,2.4,9,274
"Other",114,1,107,1.45,9,279
"Entire home/apt",132,60,2,0.1,1,101
"Entire home/apt",85,2,80,1.08,1,0
"Entire home/apt",156,2,200,2.71,1,225
"Entire home/apt",78,1,248,3.5,1,346
"Entire home/apt",103,2,421,5.65,1,343
"Entire home/apt",95,2,205,2.91,1,47
"Entire home/apt",287,2,196,2.66,1,312
"Entire home/apt",54,30,15,0.34,2,214
"Entire home/apt",550,2,87,1.21,1,40
"Entire home/apt",166,2,80,1.1,2,358
"Other",106,1,116,1.57,3,360
"Entire home/apt",111,1,292,3.95,9,163
"Other",106,1,108,1.46,3,362
"Entire home/apt",97,2,349,4.73,1,115
"Entire home/apt",479,2,144,2,1,350
"Entire home/apt",73,1,294,4.01,2,151
"Entire home/apt",176,2,193,2.65,3,340
"Entire home/apt",150,30,17,0.23,1,352
"Entire home/apt",80,1,446,6.2,1,83
"Entire home/apt",131,2,268,3.67,1,241
"Entire home/apt",501,3,181,2.49,1,304
"Entire home/apt",75,30,7,0.2,1,316
"Entire home/apt",99,2,206,2.84,3,166
"Entire home/apt",180,2,138,1.92,1,0
"Entire home/apt",76,1,395,5.43,1,4
"Other",250,2,3,0.04,1,0
"Entire home/apt",198,2,114,1.57,1,221
"Entire home/apt",110,1,319,4.4,9,337
"Entire home/apt",159,2,6,0.15,1,177
"Entire home/apt",86,2,213,3,1,135
"Entire home/apt",175,2,128,1.77,1,55
"Entire home/apt",123,2,165,2.29,1,342
"Entire home/apt",49,1,179,2.49,1,227
"Entire home/apt",128,1,128,1.94,1,59
"Other",79,1,157,2.2,1,245
